Panorama,Configuration,Total_Feature_Matches,Average_Match_Distance,Average_Reprojection_Error,Sharpness,Noise_Level,Mean_Color_R,Mean_Color_G,Mean_Color_B,Std_Color_R,Std_Color_G,Std_Color_B,Edge_Density
NISwGSP-grail-stitched.jpg,common,1166,268.18,166.10,139.23,0.0010,148.26,152.48,147.20,19.10,19.39,19.30,0.0142
SPHP-bridge-stitched.jpg,common,397,284.11,345.85,143.52,0.0015,80.64,79.35,77.64,68.15,67.60,64.63,0.0342
SPHP-garden-stitched.jpg,common,239,270.84,206.86,158.38,0.0017,80.40,74.52,67.28,67.41,63.08,61.34,0.0449
NISwGSP-05_SienaCathedral-stitched.jpg,common,804,271.50,421.55,64.01,0.0015,36.95,35.92,35.18,67.43,65.56,64.09,0.0136
SPHP-campus-stitched.jpg,common,249,238.74,93.77,88.20,0.0015,61.26,62.07,53.96,38.25,37.56,35.57,0.0257
AANAP-building-stitched.jpg,common,319,236.22,43.85,98.11,0.0013,80.49,78.98,77.76,66.72,67.81,68.17,0.0247
NISwGSP-Memorial_Hall-stitched.jpg,common,181,256.55,625.76,15.99,0.0006,72.90,59.15,48.84,72.09,58.21,48.65,0.0026
DHW-forest-stitched.jpg,common,734,244.18,136.81,36.44,0.0010,26.31,27.69,23.96,60.28,61.82,58.82,0.0044
SPHP-park-stitched.jpg,common,191,273.99,216.29,89.09,0.0005,92.35,91.51,89.73,91.13,90.94,91.56,0.0081
AANAP-skyline-stitched.jpg,common,586,243.79,99.41,135.79,0.0015,77.75,81.49,75.65,69.40,70.93,69.08,0.0216
NISwGSP-03_SantaMaria-all-stitched.jpg,common,673,273.33,635.92,89.29,0.0010,19.59,19.18,18.78,47.41,46.90,46.49,0.0055
AANAP-roundabout-stitched.jpg,common,652,217.13,203.61,103.66,0.0013,86.33,80.29,73.62,72.61,71.90,72.77,0.0185
NISwGSP-12_PalazzoPubblico-stitched.jpg,common,650,279.97,541.46,147.75,0.0014,55.51,51.10,50.16,67.71,64.64,67.74,0.0167
NISwGSP-06_SienaCathedralLibrary-stitched.jpg,common,1137,290.82,583.26,22.37,0.0010,10.63,9.49,8.54,36.30,32.98,30.12,0.0032
NISwGSP-grail-stitched.jpg,less_common,1309,290.37,49.70,127.31,0.0027,1.57,1.59,1.53,8.53,8.60,8.36,0.0073
SPHP-bridge-stitched.jpg,less_common,244,271.54,294.76,442.71,0.0024,8.13,7.83,7.38,14.73,14.28,13.79,0.0315
SPHP-garden-stitched.jpg,less_common,219,265.97,238.98,15.08,0.0000,2.07,1.81,1.55,7.27,6.56,6.19,0.0015
NISwGSP-05_SienaCathedral-stitched.jpg,less_common,637,261.64,887.76,68.83,0.0011,5.94,5.55,5.46,15.47,14.62,14.45,0.0094
SPHP-campus-stitched.jpg,less_common,192,236.16,204.33,153.78,0.0014,5.31,5.16,4.93,14.43,14.17,13.72,0.0158
AANAP-building-stitched.jpg,less_common,176,281.23,93.01,240.05,0.0018,4.92,4.69,4.75,10.91,10.89,10.78,0.0167
NISwGSP-Memorial_Hall-stitched.jpg,less_common,143,302.98,56.06,74.02,0.0013,2.89,2.33,2.17,9.08,7.56,6.20,0.0073
DHW-forest-stitched.jpg,less_common,268,297.11,943.91,194.85,0.0021,5.10,5.11,4.48,11.91,12.06,11.13,0.0184
SPHP-park-stitched.jpg,less_common,193,267.00,1018.87,219.06,0.0010,8.23,7.79,7.38,15.70,15.17,14.45,0.0174
AANAP-skyline-stitched.jpg,less_common,441,295.14,72.80,62.28,0.0012,3.55,3.46,3.61,10.56,11.38,11.35,0.0064
NISwGSP-03_SantaMaria-all-stitched.jpg,less_common,341,298.24,413.74,61.69,0.0011,28.55,27.36,28.60,14.02,13.51,13.56,0.0031
AANAP-roundabout-stitched.jpg,less_common,363,285.68,103.82,128.69,0.0014,2.53,2.34,2.21,10.54,10.51,10.26,0.0094
NISwGSP-12_PalazzoPubblico-stitched.jpg,less_common,500,267.62,2843.19,218.04,0.0018,6.45,5.47,5.32,12.96,11.70,11.11,0.0154
NISwGSP-06_SienaCathedralLibrary-stitched.jpg,less_common,1284,297.05,348.96,74.34,0.0018,2.38,2.13,1.93,9.71,8.83,8.23,0.0080
NISwGSP-grail-stitched.jpg,all_filters,780,284.93,89.24,16.81,0.0000,1.18,1.16,1.13,6.42,6.27,6.02,0.0018
SPHP-bridge-stitched.jpg,all_filters,226,276.37,6476.64,413.83,0.0020,6.97,6.52,6.69,15.32,14.96,14.64,0.0305
SPHP-garden-stitched.jpg,all_filters,181,272.96,106.37,681.11,0.0022,8.61,7.99,7.77,18.42,17.99,17.37,0.0421
NISwGSP-05_SienaCathedral-stitched.jpg,all_filters,587,267.19,309.24,103.31,0.0016,6.32,6.03,5.99,14.71,14.29,13.93,0.0169
SPHP-campus-stitched.jpg,all_filters,206,244.53,310.74,349.62,0.0014,5.22,4.99,4.79,11.97,11.82,11.26,0.0221
AANAP-building-stitched.jpg,all_filters,125,275.29,5207.77,181.54,0.0016,4.21,3.67,3.98,9.03,8.93,8.92,0.0116
NISwGSP-Memorial_Hall-stitched.jpg,all_filters,84,312.66,551.75,86.06,0.0023,6.41,4.94,5.39,9.63,7.86,7.37,0.0060
DHW-forest-stitched.jpg,all_filters,292,290.08,335.99,15.76,0.0006,0.30,0.25,0.25,2.69,2.61,2.47,0.0007
SPHP-park-stitched.jpg,all_filters,206,264.41,612.67,40.49,0.0007,1.84,1.70,1.78,7.41,7.26,6.96,0.0034
AANAP-skyline-stitched.jpg,all_filters,358,276.50,81.07,20.30,0.0011,1.16,1.00,1.12,5.13,5.42,5.42,0.0018
NISwGSP-03_SantaMaria-all-stitched.jpg,all_filters,397,276.99,295.99,32.48,0.0015,0.72,0.69,0.69,4.34,4.25,4.25,0.0021
AANAP-roundabout-stitched.jpg,all_filters,341,286.09,544.59,201.97,0.0013,3.41,3.08,3.13,11.48,11.38,11.21,0.0134
NISwGSP-12_PalazzoPubblico-stitched.jpg,all_filters,461,282.05,628.92,239.37,0.0016,6.08,5.21,5.58,12.98,12.23,11.81,0.0227
